primary_scenario,intent_label,n,composite_mean,completeness_mean,coherency_mean,correctness_mean,display_quality,display_completeness,display_coherency,display_correctness,cell_label,score_label,completeness_label,coherency_label,correctness_label
Industry-Specific Knowledge and Trends,Explore Options,6806,3.3982760309530806,3.008521892447837,3.639141933588013,3.547164266823382,3.3982760309530806,3.008521892447837,3.639141933588013,3.547164266823382,6.8k,3.4,3.01,3.64,3.55
Industry-Specific Knowledge and Trends,Take Action,3417,3.4004487367086136,2.992390986245242,3.6453028972783152,3.5636523266022784,3.4004487367086136,2.992390986245242,3.6453028972783152,3.5636523266022784,3.4k,3.4,2.99,3.65,3.56
Industry-Specific Knowledge and Trends,Understanding Purpose,697,3.3299856527977045,2.892395982783358,3.596843615494978,3.500717360114778,3.3299856527977045,2.892395982783358,3.596843615494978,3.500717360114778,697,3.33,2.89,3.6,3.5
Industry-Specific Knowledge and Trends,Validation / Support,1914,3.4235458028561476,3.0538140020898634,3.643678160919539,3.5731452455590405,3.4235458028561476,3.0538140020898634,3.643678160919539,3.5731452455590405,1.9k,3.42,3.05,3.64,3.57
Industry-Specific Knowledge and Trends,Find Resources,1121,3.367826345524829,2.919714540588761,3.63157894736842,3.552185548617307,3.367826345524829,2.919714540588761,3.63157894736842,3.552185548617307,1.1k,3.37,2.92,3.63,3.55
Industry-Specific Knowledge and Trends,Navigate Constraints,189,3.2768959435626104,2.8201058201058204,3.5873015873015874,3.4232804232804233,3.2768959435626104,2.8201058201058204,3.5873015873015874,3.4232804232804233,189,3.28,2.82,3.59,3.42
Industry-Specific Knowledge and Trends,Compare Options,941,3.3280198370527807,2.9277364505844856,3.616365568544101,3.4399574920297553,3.3280198370527807,2.9277364505844856,3.616365568544101,3.4399574920297553,941,3.33,2.93,3.62,3.44
Industry-Specific Knowledge and Trends,Unclear Goal,197,3.475465313028765,3.2081218274111674,3.614213197969543,3.6040609137055837,3.475465313028765,3.2081218274111674,3.614213197969543,3.6040609137055837,197,3.48,3.21,3.61,3.6
"Career Decision-Making, Transitioning, and Exploration Resources",Explore Options,1196,3.3447603121516165,2.8210702341137153,3.596153846153846,3.6170568561872916,3.3447603121516165,2.8210702341137153,3.596153846153846,3.6170568561872916,1.2k,3.34,2.82,3.6,3.62
"Career Decision-Making, Transitioning, and Exploration Resources",Take Action,1252,3.3189563365282213,2.7819488817891402,3.5790734824281154,3.5958466453674127,3.3189563365282213,2.7819488817891402,3.5790734824281154,3.5958466453674127,1.3k,3.32,2.78,3.58,3.6
"Career Decision-Making, Transitioning, and Exploration Resources",Understanding Purpose,839,3.3551847437425506,2.810488676996424,3.6162097735399286,3.638855780691299,3.3551847437425506,2.810488676996424,3.6162097735399286,3.638855780691299,839,3.36,2.81,3.62,3.64
"Career Decision-Making, Transitioning, and Exploration Resources",Validation / Support,880,3.3431818181818183,2.843181818181818,3.5750000000000006,3.6113636363636368,3.3431818181818183,2.843181818181818,3.5750000000000006,3.6113636363636368,880,3.34,2.84,3.58,3.61
"Career Decision-Making, Transitioning, and Exploration Resources",Find Resources,272,3.3909313725490198,2.9080882352941186,3.6102941176470593,3.6544117647058822,3.3909313725490198,2.9080882352941186,3.6102941176470593,3.6544117647058822,272,3.39,2.91,3.61,3.65
"Career Decision-Making, Transitioning, and Exploration Resources",Navigate Constraints,50,3.4266666666666667,3,3.66,3.62,3.4266666666666667,3,3.66,3.62,50,3.43,3,3.66,3.62
"Career Decision-Making, Transitioning, and Exploration Resources",Compare Options,381,3.2808398950131235,2.7270341207349085,3.6115485564304466,3.503937007874016,3.2808398950131235,2.7270341207349085,3.6115485564304466,3.503937007874016,381,3.28,2.73,3.61,3.5
"Career Decision-Making, Transitioning, and Exploration Resources",Unclear Goal,75,3.2888888888888888,2.786666666666666,3.48,3.6,3.2888888888888888,2.786666666666666,3.48,3.6,75,3.29,2.79,3.48,3.6
College Queries,Explore Options,851,3.3517430473952214,2.90716803760282,3.6498237367802577,3.4982373678025844,3.3517430473952214,2.90716803760282,3.6498237367802577,3.4982373678025844,851,3.35,2.91,3.65,3.5
College Queries,Take Action,503,3.424121935056329,3.033797216699801,3.675944333996023,3.5626242544731617,3.424121935056329,3.033797216699801,3.675944333996023,3.5626242544731617,503,3.42,3.03,3.68,3.56
College Queries,Understanding Purpose,40,3.308333333333333,2.8,3.625,3.5,3.308333333333333,2.8,3.625,3.5,40,3.31,2.8,3.62,3.5
College Queries,Validation / Support,453,3.355408388520971,2.929359823399559,3.637969094922737,3.498896247240618,3.355408388520971,2.929359823399559,3.637969094922737,3.498896247240618,453,3.36,2.93,3.64,3.5
College Queries,Find Resources,186,3.3960573476702507,2.9301075268817205,3.6774193548387095,3.580645161290323,3.3960573476702507,2.9301075268817205,3.6774193548387095,3.580645161290323,186,3.4,2.93,3.68,3.58
College Queries,Navigate Constraints,49,3.3333333333333335,2.857142857142857,3.6530612244897958,3.489795918367347,3.3333333333333335,2.857142857142857,3.6530612244897958,3.489795918367347,49,3.33,2.86,3.65,3.49
College Queries,Compare Options,244,3.439890710382514,3.024590163934426,3.721311475409836,3.5737704918032787,3.439890710382514,3.024590163934426,3.721311475409836,3.5737704918032787,244,3.44,3.02,3.72,3.57
College Queries,Unclear Goal,18,3.648148148148148,3.4444444444444446,3.7777777777777777,3.7222222222222223,3.648148148148148,3.4444444444444446,3.7777777777777777,3.7222222222222223,18,3.65,3.44,3.78,3.72
Resume/CV/LinkedIn Optimization and Personal Branding,Explore Options,162,3.3415637860082303,2.7839506172839505,3.5925925925925926,3.648148148148148,3.3415637860082303,2.7839506172839505,3.5925925925925926,3.648148148148148,162,3.34,2.78,3.59,3.65
Resume/CV/LinkedIn Optimization and Personal Branding,Take Action,285,3.376608187134503,2.891228070175439,3.6035087719298247,3.6350877192982454,3.376608187134503,2.891228070175439,3.6035087719298247,3.6350877192982454,285,3.38,2.89,3.6,3.64
Resume/CV/LinkedIn Optimization and Personal Branding,Understanding Purpose,9,3.4444444444444446,3,3.6666666666666665,3.6666666666666665,NA,NA,NA,NA,,,,,
Resume/CV/LinkedIn Optimization and Personal Branding,Validation / Support,206,3.396440129449838,2.9805825242718447,3.5728155339805827,3.6359223300970873,3.396440129449838,2.9805825242718447,3.5728155339805827,3.6359223300970873,206,3.4,2.98,3.57,3.64
Resume/CV/LinkedIn Optimization and Personal Branding,Find Resources,238,3.357142857142857,2.8361344537815123,3.596638655462185,3.638655462184874,3.357142857142857,2.8361344537815123,3.596638655462185,3.638655462184874,238,3.36,2.84,3.6,3.64
Resume/CV/LinkedIn Optimization and Personal Branding,Navigate Constraints,5,3.7333333333333334,3.4,3.8,4,NA,NA,NA,NA,,,,,
Resume/CV/LinkedIn Optimization and Personal Branding,Compare Options,11,3.0606060606060606,2.6363636363636362,3.3636363636363638,3.1818181818181817,3.0606060606060606,2.6363636363636362,3.3636363636363638,3.1818181818181817,11,3.06,2.64,3.36,3.18
Resume/CV/LinkedIn Optimization and Personal Branding,Unclear Goal,25,3.5733333333333333,3.2,3.76,3.76,3.5733333333333333,3.2,3.76,3.76,25,3.57,3.2,3.76,3.76
Job Search Strategies and Infrastructure,Explore Options,196,3.372448979591837,2.86734693877551,3.6275510204081636,3.6224489795918364,3.372448979591837,2.86734693877551,3.6275510204081636,3.6224489795918364,196,3.37,2.87,3.63,3.62
Job Search Strategies and Infrastructure,Take Action,163,3.3537832310838445,2.8220858895705523,3.6196319018404908,3.619631901840491,3.3537832310838445,2.8220858895705523,3.6196319018404908,3.619631901840491,163,3.35,2.82,3.62,3.62
Job Search Strategies and Infrastructure,Understanding Purpose,11,3.121212121212121,2.4545454545454546,3.5454545454545454,3.3636363636363638,3.121212121212121,2.4545454545454546,3.5454545454545454,3.3636363636363638,11,3.12,2.45,3.55,3.36
Job Search Strategies and Infrastructure,Validation / Support,131,3.3689567430025447,2.908396946564886,3.5877862595419843,3.6106870229007635,3.3689567430025447,2.908396946564886,3.5877862595419843,3.6106870229007635,131,3.37,2.91,3.59,3.61
Job Search Strategies and Infrastructure,Find Resources,223,3.3512705530642752,2.869955156950673,3.565022421524664,3.618834080717489,3.3512705530642752,2.869955156950673,3.565022421524664,3.618834080717489,223,3.35,2.87,3.57,3.62
Job Search Strategies and Infrastructure,Navigate Constraints,18,3.3333333333333335,2.7222222222222223,3.5,3.7777777777777777,3.3333333333333335,2.7222222222222223,3.5,3.7777777777777777,18,3.33,2.72,3.5,3.78
Job Search Strategies and Infrastructure,Compare Options,6,3.5,3.1666666666666665,3.8333333333333335,3.5,NA,NA,NA,NA,,,,,
Job Search Strategies and Infrastructure,Unclear Goal,3,3.2222222222222223,2.3333333333333335,4,3.3333333333333335,NA,NA,NA,NA,,,,,
Work-Life Balance and Personal Values Alignment,Explore Options,102,3.3562091503267975,2.9411764705882355,3.519607843137255,3.607843137254902,3.3562091503267975,2.9411764705882355,3.519607843137255,3.607843137254902,102,3.36,2.94,3.52,3.61
Work-Life Balance and Personal Values Alignment,Take Action,105,3.3015873015873014,2.838095238095238,3.4952380952380953,3.5714285714285716,3.3015873015873014,2.838095238095238,3.4952380952380953,3.5714285714285716,105,3.3,2.84,3.5,3.57
Work-Life Balance and Personal Values Alignment,Understanding Purpose,63,3.4761904761904763,3.1746031746031744,3.6031746031746033,3.6507936507936507,3.4761904761904763,3.1746031746031744,3.6031746031746033,3.6507936507936507,63,3.48,3.17,3.6,3.65
Work-Life Balance and Personal Values Alignment,Validation / Support,264,3.4053030303030303,3.0340909090909087,3.5492424242424248,3.632575757575758,3.4053030303030303,3.0340909090909087,3.5492424242424248,3.632575757575758,264,3.41,3.03,3.55,3.63
Work-Life Balance and Personal Values Alignment,Find Resources,21,3.3968253968253967,2.9523809523809526,3.5714285714285716,3.6666666666666665,3.3968253968253967,2.9523809523809526,3.5714285714285716,3.6666666666666665,21,3.4,2.95,3.57,3.67
Work-Life Balance and Personal Values Alignment,Navigate Constraints,76,3.3596491228070176,3.013157894736842,3.513157894736842,3.5526315789473686,3.3596491228070176,3.013157894736842,3.513157894736842,3.5526315789473686,76,3.36,3.01,3.51,3.55
Work-Life Balance and Personal Values Alignment,Compare Options,6,3.611111111111111,3.1666666666666665,3.6666666666666665,4,NA,NA,NA,NA,,,,,
Work-Life Balance and Personal Values Alignment,Unclear Goal,18,3.537037037037037,3.3333333333333335,3.611111111111111,3.6666666666666665,3.537037037037037,3.3333333333333335,3.611111111111111,3.6666666666666665,18,3.54,3.33,3.61,3.67
Skill Development,Explore Options,209,3.4481658692185007,3.043062200956938,3.669856459330144,3.6315789473684212,3.4481658692185007,3.043062200956938,3.669856459330144,3.6315789473684212,209,3.45,3.04,3.67,3.63
Skill Development,Take Action,121,3.4242424242424243,3.0082644628099175,3.677685950413223,3.5867768595041323,3.4242424242424243,3.0082644628099175,3.677685950413223,3.5867768595041323,121,3.42,3.01,3.68,3.59
Skill Development,Understanding Purpose,4,3.8333333333333335,3.75,3.75,4,NA,NA,NA,NA,,,,,
Skill Development,Validation / Support,78,3.47008547008547,3.0641025641025643,3.6923076923076925,3.6538461538461537,3.47008547008547,3.0641025641025643,3.6923076923076925,3.6538461538461537,78,3.47,3.06,3.69,3.65
Skill Development,Find Resources,172,3.441860465116279,2.965116279069767,3.686046511627907,3.674418604651163,3.441860465116279,2.965116279069767,3.686046511627907,3.674418604651163,172,3.44,2.97,3.69,3.67
Skill Development,Navigate Constraints,8,3.625,3.25,3.875,3.75,NA,NA,NA,NA,,,,,
Skill Development,Compare Options,8,3.5833333333333335,3.375,3.75,3.625,NA,NA,NA,NA,,,,,
Skill Development,Unclear Goal,14,3.7142857142857144,3.4285714285714284,3.857142857142857,3.857142857142857,3.7142857142857144,3.4285714285714284,3.857142857142857,3.857142857142857,14,3.71,3.43,3.86,3.86
Networking and Mentorship,Explore Options,67,3.4378109452736316,2.955223880597015,3.6417910447761193,3.716417910447761,3.4378109452736316,2.955223880597015,3.6417910447761193,3.716417910447761,67,3.44,2.96,3.64,3.72
Networking and Mentorship,Take Action,126,3.4074074074074074,2.9206349206349205,3.5873015873015874,3.7142857142857144,3.4074074074074074,2.9206349206349205,3.5873015873015874,3.7142857142857144,126,3.41,2.92,3.59,3.71
Networking and Mentorship,Understanding Purpose,2,3.166666666666667,3,3,3.5,NA,NA,NA,NA,,,,,
Networking and Mentorship,Validation / Support,72,3.425925925925926,2.986111111111111,3.625,3.6666666666666665,3.425925925925926,2.986111111111111,3.625,3.6666666666666665,72,3.43,2.99,3.62,3.67
Networking and Mentorship,Find Resources,162,3.405349794238683,2.888888888888889,3.6234567901234565,3.7037037037037037,3.405349794238683,2.888888888888889,3.6234567901234565,3.7037037037037037,162,3.41,2.89,3.62,3.7
Networking and Mentorship,Navigate Constraints,6,3.388888888888889,3.1666666666666665,3.5,3.5,NA,NA,NA,NA,,,,,
Networking and Mentorship,Compare Options,10,3.2,3,3.3,3.3,3.2,3,3.3,3.3,10,3.2,3,3.3,3.3
Networking and Mentorship,Unclear Goal,3,3.555555555555556,3,4,3.6666666666666665,NA,NA,NA,NA,,,,,
First Job Navigation,Explore Options,105,3.380952380952381,2.914285714285714,3.6285714285714286,3.6,3.380952380952381,2.914285714285714,3.6285714285714286,3.6,105,3.38,2.91,3.63,3.6
First Job Navigation,Take Action,91,3.4835164835164836,2.989010989010989,3.758241758241758,3.7032967032967035,3.4835164835164836,2.989010989010989,3.758241758241758,3.7032967032967035,91,3.48,2.99,3.76,3.7
First Job Navigation,Understanding Purpose,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
First Job Navigation,Validation / Support,95,3.389473684210526,2.9368421052631577,3.694736842105263,3.536842105263158,3.389473684210526,2.9368421052631577,3.694736842105263,3.536842105263158,95,3.39,2.94,3.69,3.54
First Job Navigation,Find Resources,66,3.3282828282828283,2.727272727272727,3.6515151515151514,3.606060606060606,3.3282828282828283,2.727272727272727,3.6515151515151514,3.606060606060606,66,3.33,2.73,3.65,3.61
First Job Navigation,Navigate Constraints,8,3.0833333333333335,2.375,3.5,3.375,NA,NA,NA,NA,,,,,
First Job Navigation,Compare Options,9,3.6296296296296298,3.3333333333333335,3.888888888888889,3.6666666666666665,NA,NA,NA,NA,,,,,
First Job Navigation,Unclear Goal,9,3.185185185185185,2.2222222222222223,3.6666666666666665,3.6666666666666665,NA,NA,NA,NA,,,,,
Workplace Dynamics,Explore Options,32,3.3541666666666665,2.96875,3.5,3.59375,3.3541666666666665,2.96875,3.5,3.59375,32,3.35,2.97,3.5,3.59
Workplace Dynamics,Take Action,47,3.4680851063829787,3.042553191489362,3.6808510638297873,3.6808510638297873,3.4680851063829787,3.042553191489362,3.6808510638297873,3.6808510638297873,47,3.47,3.04,3.68,3.68
Workplace Dynamics,Understanding Purpose,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Workplace Dynamics,Validation / Support,81,3.5020576131687244,3.111111111111111,3.7160493827160495,3.6790123456790123,3.5020576131687244,3.111111111111111,3.7160493827160495,3.6790123456790123,81,3.5,3.11,3.72,3.68
Workplace Dynamics,Find Resources,15,3.3555555555555556,3,3.6,3.466666666666667,3.3555555555555556,3,3.6,3.466666666666667,15,3.36,3,3.6,3.47
Workplace Dynamics,Navigate Constraints,11,3.515151515151515,3.090909090909091,3.727272727272727,3.727272727272727,3.515151515151515,3.090909090909091,3.727272727272727,3.727272727272727,11,3.52,3.09,3.73,3.73
Workplace Dynamics,Compare Options,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Workplace Dynamics,Unclear Goal,12,3.5277777777777777,3.0833333333333335,3.5833333333333335,3.9166666666666665,3.5277777777777777,3.0833333333333335,3.5833333333333335,3.9166666666666665,12,3.53,3.08,3.58,3.92
Interview Preparation,Explore Options,33,3.5757575757575757,3.0606060606060606,3.878787878787879,3.787878787878788,3.5757575757575757,3.0606060606060606,3.878787878787879,3.787878787878788,33,3.58,3.06,3.88,3.79
Interview Preparation,Take Action,84,3.503968253968254,3.0357142857142856,3.7142857142857144,3.761904761904762,3.503968253968254,3.0357142857142856,3.7142857142857144,3.761904761904762,84,3.5,3.04,3.71,3.76
Interview Preparation,Understanding Purpose,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Interview Preparation,Validation / Support,45,3.4592592592592593,3.111111111111111,3.5555555555555554,3.7111111111111112,3.4592592592592593,3.111111111111111,3.5555555555555554,3.7111111111111112,45,3.46,3.11,3.56,3.71
Interview Preparation,Find Resources,50,3.5,3.06,3.66,3.78,3.5,3.06,3.66,3.78,50,3.5,3.06,3.66,3.78
Interview Preparation,Navigate Constraints,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Interview Preparation,Compare Options,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Interview Preparation,Unclear Goal,8,3.375,2.875,3.75,3.5,NA,NA,NA,NA,,,,,
